운행일자,상행하행구분코드,열차종별코드,운행구분코드,시발역코드,열차시발시각,종착역코드,열차종착시각,열차속성코드,주운행성코드,요일
2020-08-13,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-08-20,상,새마을,부정기,연무대,09:10:00,춘천,14:49:00,건설,호남선,목요일
2020-08-20,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-08-27,상,새마을,부정기,연무대,09:10:00,춘천,14:49:00,건설,호남선,목요일
2020-08-27,하,무궁화,부정기,연무대,09:47:00,장성,11:10:00,건설,호남선,목요일
2020-09-01,상,새마을,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,화요일
2020-09-03,상,새마을,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-09-10,상,새마을,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-09-17,상,새마을,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-09-24,상,새마을,부정기,연무대,09:16:00,춘천,15:08:00,건설,호남선,목요일
2020-09-28,하,새마을,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,월요일
2020-10-01,하,새마을,부정기,연무대,09:10:00,춘천,14:49:00,건설,호남선,목요일
2020-10-08,상,새마을,부정기,연무대,09:10:00,춘천,14:49:00,건설,호남선,목요일
2020-10-15,상,새마을,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-10-22,상,새마을,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-10-29,상,새마을,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-11-05,상,새마을,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-11-12,상,새마을,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-11-19,상,새마을,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-11-26,상,새마을,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-12-03,상,새마을,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-12-10,상,새마을,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-12-17,상,새마을,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-12-24,상,새마을,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2020-12-31,상,새마을,부정기,연무대,09:10:00,춘천,15:08:00,건설,호남선,목요일
2021-01-07,하,새마을,부정기,연무대,09:10:00,춘천,15:01:00,건설,호남선,목요일
2021-01-14,하,새마을,부정기,연무대,09:10:00,춘천,14:55:00,건설,호남선,목요일
